timestamp,ip,port,open,service,banner
2025-10-04T17:04:35.387615,192.168.174.131,1,False,,
2025-10-04T17:04:35.387615,192.168.174.131,2,False,,
2025-10-04T17:04:35.387615,192.168.174.131,3,False,,
2025-10-04T17:04:35.387615,192.168.174.131,4,False,,
2025-10-04T17:04:35.387615,192.168.174.131,5,False,,
2025-10-04T17:04:35.387615,192.168.174.131,6,False,,
2025-10-04T17:04:35.387615,192.168.174.131,7,False,,
2025-10-04T17:04:35.387615,192.168.174.131,8,False,,
2025-10-04T17:04:35.387615,192.168.174.131,9,False,,
2025-10-04T17:04:35.387615,192.168.174.131,10,False,,
2025-10-04T17:04:35.387615,192.168.174.131,11,False,,
2025-10-04T17:04:35.387615,192.168.174.131,12,False,,
2025-10-04T17:04:35.387615,192.168.174.131,13,False,,
2025-10-04T17:04:35.387615,192.168.174.131,14,False,,
2025-10-04T17:04:35.387615,192.168.174.131,15,False,,
2025-10-04T17:04:35.387615,192.168.174.131,16,False,,
2025-10-04T17:04:35.387615,192.168.174.131,17,False,,
2025-10-04T17:04:35.387615,192.168.174.131,18,False,,
2025-10-04T17:04:35.387615,192.168.174.131,19,False,,
2025-10-04T17:04:35.387615,192.168.174.131,20,False,,
2025-10-04T17:04:35.387615,192.168.174.131,21,True,,220 (vsFTPd 2.3.4)
2025-10-04T17:04:35.387615,192.168.174.131,22,True,,SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1
2025-10-04T17:04:35.387615,192.168.174.131,23,True,, #'
2025-10-04T17:04:35.387615,192.168.174.131,24,False,,
2025-10-04T17:04:35.387615,192.168.174.131,25,True,,220 metasploitable.localdomain ESMTP Postfix (Ubuntu)
2025-10-04T17:04:35.387615,192.168.174.131,26,False,,
2025-10-04T17:04:35.387615,192.168.174.131,27,False,,
2025-10-04T17:04:35.387615,192.168.174.131,28,False,,
2025-10-04T17:04:35.387615,192.168.174.131,29,False,,
2025-10-04T17:04:35.387615,192.168.174.131,30,False,,
2025-10-04T17:04:35.387615,192.168.174.131,31,False,,
2025-10-04T17:04:35.387615,192.168.174.131,32,False,,
2025-10-04T17:04:35.387615,192.168.174.131,33,False,,
2025-10-04T17:04:35.387615,192.168.174.131,34,False,,
2025-10-04T17:04:35.387615,192.168.174.131,35,False,,
2025-10-04T17:04:35.387615,192.168.174.131,36,False,,
2025-10-04T17:04:35.387615,192.168.174.131,37,False,,
